folder,file,size
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069984/1,1_G4KNRK069984_UpperZone2[ALWAYS]_Step2_[221232]_OK.jpg,658026
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069984/1,1_G4KNRK069984_LowerZone1[ALWAYS]_Step3_[221232]_OK.jpg,370459
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069984/1,1_G4KNRK069984_UpperZone1[ALWAYS]_Step1_[221232]_OK.jpg,716471
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069984/1,1_G4KNRK069984_LowerZone2[ALWAYS]_Step4_[221232]_OK.jpg,357251
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069991/1,1_G4KNRK069991_UpperZone2[ALWAYS]_Step2_[222626]_OK.jpg,657372
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069991/1,1_G4KNRK069991_UpperZone1[ALWAYS]_Step1_[222626]_OK.jpg,707159
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069991/1,1_G4KNRK069991_LowerZone2[ALWAYS]_Step4_[222626]_OK.jpg,345412
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069991/1,1_G4KNRK069991_LowerZone1[ALWAYS]_Step3_[222626]_OK.jpg,367462
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070113/1,1_G4KNRK070113_UpperZone2[ALWAYS]_Step2_[235631]_OK.jpg,673794
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070113/1,1_G4KNRK070113_UpperZone1[ALWAYS]_Step1_[235631]_OK.jpg,733195
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070113/1,1_G4KNRK070113_LowerZone2[ALWAYS]_Step4_[235631]_OK.jpg,349407
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070113/1,1_G4KNRK070113_LowerZone1[ALWAYS]_Step3_[235631]_OK.jpg,365663
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069944/1,1_G4KNRK069944_UpperZone1[ALWAYS]_Step1_[213441]_OK.jpg,716142
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069944/1,1_G4KNRK069944_UpperZone2[ALWAYS]_Step2_[213441]_OK.jpg,659927
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069944/1,1_G4KNRK069944_LowerZone2[ALWAYS]_Step4_[213441]_OK.jpg,348993
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069944/1,1_G4KNRK069944_LowerZone1[ALWAYS]_Step3_[213441]_OK.jpg,368015
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070061/1,1_G4KNRK070061_LowerZone1[ALWAYS]_Step3_[231743]_OK.jpg,360557
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070061/1,1_G4KNRK070061_LowerZone2[ALWAYS]_Step4_[231743]_OK.jpg,352698
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070061/1,1_G4KNRK070061_UpperZone1[ALWAYS]_Step1_[231743]_OK.jpg,741031
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070061/1,1_G4KNRK070061_UpperZone2[ALWAYS]_Step2_[231743]_OK.jpg,667022
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069869/1,1_G4KNRK069869_LowerZone2[ALWAYS]_Step4_[202535]_OK.jpg,341424
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069869/1,1_G4KNRK069869_UpperZone2[ALWAYS]_Step2_[202535]_OK.jpg,643578
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069869/1,1_G4KNRK069869_UpperZone1[ALWAYS]_Step1_[202535]_OK.jpg,710093
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069869/1,1_G4KNRK069869_LowerZone1[ALWAYS]_Step3_[202535]_OK.jpg,358901
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070107/1,1_G4KNRK070107_UpperZone2[ALWAYS]_Step2_[235335]_OK.jpg,680645
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070107/1,1_G4KNRK070107_LowerZone2[ALWAYS]_Step4_[235335]_OK.jpg,349582
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070107/1,1_G4KNRK070107_UpperZone1[ALWAYS]_Step1_[235335]_OK.jpg,735164
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070107/1,1_G4KNRK070107_LowerZone1[ALWAYS]_Step3_[235335]_OK.jpg,365937
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069829/1,1_G4KNRK069829_LowerZone2[ALWAYS]_Step4_[192101]_OK.jpg,344283
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069829/1,1_G4KNRK069829_UpperZone1[ALWAYS]_Step1_[192101]_OK.jpg,716278
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069829/1,1_G4KNRK069829_LowerZone1[ALWAYS]_Step3_[192101]_OK.jpg,367165
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069829/1,1_G4KNRK069829_UpperZone2[ALWAYS]_Step2_[192101]_OK.jpg,676276
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070086/1,1_G4KNRK070086_UpperZone2[ALWAYS]_Step2_[233601]_OK.jpg,711814
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070086/1,1_G4KNRK070086_LowerZone2[ALWAYS]_Step4_[233601]_OK.jpg,357820
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070086/1,1_G4KNRK070086_LowerZone1[ALWAYS]_Step3_[233601]_OK.jpg,369004
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070086/1,1_G4KNRK070086_UpperZone1[ALWAYS]_Step1_[233601]_OK.jpg,740997
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070103/1,1_G4KNRK070103_UpperZone1[ALWAYS]_Step1_[234956]_OK.jpg,740676
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070103/1,1_G4KNRK070103_UpperZone2[ALWAYS]_Step2_[234956]_OK.jpg,708072
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070103/1,1_G4KNRK070103_LowerZone1[ALWAYS]_Step3_[234956]_OK.jpg,362873
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070103/1,1_G4KNRK070103_LowerZone2[ALWAYS]_Step4_[234956]_OK.jpg,353662
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070045/1,1_G4KNRK070045_LowerZone2[ALWAYS]_Step4_[230602]_OK.jpg,352670
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070045/1,1_G4KNRK070045_UpperZone2[ALWAYS]_Step2_[230602]_OK.jpg,700274
